15	10	E	-9537865.365447113	142
emissionprobs	14	1	H3K27AC	1	0.008997928415570358
emissionprobs	14	2	H3K27ME3	0	0.9573083475006142
emissionprobs	14	2	H3K27ME3	1	0.04269165249938574
emissionprobs	14	3	H3K36ME3	0	0.9418022916871125
emissionprobs	14	3	H3K36ME3	1	0.0581977083128875
emissionprobs	14	4	H3K4ME1	0	0.9942003695492208
emissionprobs	14	4	H3K4ME1	1	0.0057996304507792265
emissionprobs	14	5	H3K4ME2	0	0.9924757944947094
emissionprobs	14	5	H3K4ME2	1	0.007524205505290676
emissionprobs	14	6	H3K79ME2	0	0.9757717361792798
emissionprobs	14	6	H3K79ME2	1	0.02422826382072025
emissionprobs	14	7	H3K9AC	0	0.9933526223678358
emissionprobs	14	7	H3K9AC	1	0.006647377632164181
emissionprobs	14	8	H3K9ME3	0	0.5013678447481843
emissionprobs	14	8	H3K9ME3	1	0.49863215525181576
emissionprobs	14	9	H4K20ME1	0	0.9885852079633959
emissionprobs	14	9	H4K20ME1	1	0.011414792036604093
emissionprobs	15	0	H2AFZ	0	0.9816846872677487
emissionprobs	15	0	H2AFZ	1	0.018315312732251367
emissionprobs	15	1	H3K27AC	0	0.9995518419649161
emissionprobs	15	1	H3K27AC	1	4.4815803508394507E-4
emissionprobs	15	2	H3K27ME3	0	0.7673199834851331
emissionprobs	15	2	H3K27ME3	1	0.23268001651486708
emissionprobs	15	3	H3K36ME3	0	0.9997750004728811
emissionprobs	15	3	H3K36ME3	1	2.2499952711892742E-4
emissionprobs	15	4	H3K4ME1	0	0.9972739401812099
emissionprobs	15	4	H3K4ME1	1	0.0027260598187901215
emissionprobs	15	5	H3K4ME2	0	0.9972660730130275
emissionprobs	15	5	H3K4ME2	1	0.0027339269869726076
emissionprobs	15	6	H3K79ME2	0	0.9994786006005577
emissionprobs	15	6	H3K79ME2	1	5.213993994423756E-4
emissionprobs	15	7	H3K9AC	0	0.99577522637323
emissionprobs	15	7	H3K9AC	1	0.0042247736267699895
emissionprobs	15	8	H3K9ME3	0	0.9958668877038082
emissionprobs	15	8	H3K9ME3	1	0.00413311229619185
emissionprobs	15	9	H4K20ME1	0	0.9981393912256069
emissionprobs	15	9	H4K20ME1	1	0.001860608774393141
